"Month","Area","Food_Dining","Transportation","Entertainment","Shopping","Utilities","Housing","Healthcare","Education","Travel","Personal_Care","Other","Income","Savings","Total_Expense"
"2023-04-01","Manikonda","7972","3958","3337","3465","4000","32842","1758","3247","6646","1167","2000","96181","25789","70392"
"2023-04-01","Miyapur","9463","3717","3355","2000","2820","26432","973","3964","2421","1103","1688","74545","16609","57936"
"2023-04-01","Chandanagar","7817","3530","1513","3446","3396","26853","584","4766","2160","1654","822","62947","6406","56541"
"2023-04-01","Lingampally","8354","3110","2533","3258","3593","9718","1359","1000","3549","800","1438","53262","14550","38712"
"2023-04-01","Dilsukhnagar","6000","3207","1500","4520","1991","17693","500","1355","2381","800","658","47017","6412","40605"
"2023-04-01","Uppal","6000","2000","3077","4494","2443","18306","500","3740","3085","1082","560","49966","4679","45287"
"2023-04-01","LB Nagar","6000","2000","1557","4059","2286","8000","717","1000","1324","800","513","49877","21621","28256"
"2023-04-01","Mehdipatnam","7869","2000","1511","4107","1965","11384","1368","2133","1138","939","1287","69390","33689","35701"
"2023-04-01","Tarnaka","6000","2137","1500","3520","2011","9234","940","1610","1089","800","1311","46766","16614","30152"
"2023-04-01","Kompally","6894","4027","4642","5096","4000","31770","771","1287","2228","2121","1270","65604","1498","64106"
"2023-04-01","Nallagandla","12000","4531","2721","6632","4000","35000","1505","1808","8000","910","828","84495","6560","77935"
"2023-04-01","Attapur","6000","2543","3883","5037","3053","25453","1305","5120","5601","1991","1191","74339","13162","61177"
"2023-04-01","Alwal","6000","2000","1500","2000","2999","8000","867","3714","2781","1142","500","38556","7053","31503"
"2023-04-01","Bachupally","7016","3655","2813","5608","3078","23193","1241","3302","1000","1770","876","60351","6799","53552"
"2023-04-01","Bowenpally","6387","3803","4138","2567","2853","12942","1461","3309","4921","1452","1446","58876","13597","45279"
"2023-04-01","Nizampet","8232","2186","3144","2326","2526","27115","1222","4486","4043","2051","1402","62838","4105","58733"
"2023-04-01","Somajiguda","12000","4522","3554","3838","2835","27194","1351","4688","8000","1877","1398","89463","18206","71257"
"2023-04-01","Masab Tank","6939","2055","2110","2131","3581","29514","654","2533","6604","1772","1603","74543","15047","59496"
"2023-04-01","Khairatabad","6980","3263","2135","4446","3511","11777","1568","2986","3769","2500","656","71370","27779","43591"
"2023-04-01","Nagole","6836","2813","2692","4189","1737","8000","885","1000","2261","800","611","39834","8010","31824"
"2023-05-01","Madhapur","12000","4089","3977","5240","4000","15823","1084","5393","7729","2500","2000","103816","39981","63835"
"2023-05-01","Gachibowli","12000","4613","3542","7000","4000","35000","1397","6000","8000","2500","2000","113445","27393","86052"
"2023-05-01","Hitech City","9841","5000","5000","7000","4000","12991","1359","2228","5570","1412","1281","98855","43173","55682"
"2023-05-01","Kukatpally","10586","4287","3762","3114","2258","13181","500","3982","8000","1678","611","60687","8728","51959"
"2023-05-01","Ameerpet","8955","4369","2271","3882","1901","19417","727","3434","6718","1370","1450","62271","7777","54494"
"2023-05-01","Banjara Hills","12000","3450","3011","6258","4000","19843","1572","6000","8000","2500","1010","115560","47916","67644"
"2023-05-01","Jubilee Hills","12000","3474","5000","5010","4000","19397","934","6000","4714","1650","2000","144640","80461","64179"
"2023-05-01","Secunderabad","7591","4070","1864","5151","1700","11324","1110","3086","6536","2128","869","72801","27372","45429"
"2023-05-01","Begumpet","7131","4287","2598","3483","4000","20181","1539","4986","6193","2434","2000","91665","32833","58832"
"2023-05-01","Kondapur","12000","4057","4828","4680","4000","25143","2000","2513","8000","1914","2000","88200","17065","71135"
"2023-05-01","Manikonda","8741","3824","1748","4061","2560","35000","982","2273","3984","1379","1748","93742","27442","66300"
"2023-05-01","Miyapur","6896","2296","1941","4190","3203","18563","1465","1025","4034","1223","540","46768","1392","45376"
"2023-05-01","Chandanagar","9298","2786","1727","4143","3702","8524","1196","3742","5395","1763","1336","61055","17443","43612"
"2023-05-01","Lingampally","7274","3797","2712","5334","2038","13107","734","1804","7475","1967","500","63890","17148","46742"
"2023-05-01","Dilsukhnagar","6932","2000","1500","3301","2886","22433","969","3694","1159","1451","1291","48925","1309","47616"
"2023-05-01","Uppal","6633","2000","2375","3727","2510","14430","1215","1285","6580","1083","500","45531","3193","42338"
"2023-05-01","LB Nagar","6000","2000","2150","3617","1500","21388","664","3503","6634","800","500","49978","1222","48756"
"2023-05-01","Mehdipatnam","8329","2000","3030","3987","3881","19038","1468","3135","7153","800","797","67960","14342","53618"
"2023-05-01","Tarnaka","6000","2248","2714","2000","2973","21343","500","3283","5648","1390","896","49566","571","48995"
"2023-05-01","Kompally","12000","2536","3687","2959","4000","28860","1188","1169","3971","2097","1729","75176","10980","64196"
"2023-05-01","Nallagandla","9636","3786","3351","6548","2363","35000","1397","2507","2372","2400","2000","87953","16593","71360"
"2023-05-01","Attapur","6000","3637","1641","4009","3879","24590","633","3522","5422","1184","1226","62031","6288","55743"
"2023-05-01","Alwal","6000","2471","2775","4323","1911","18573","1208","3287","5099","1564","855","49767","1701","48066"
"2023-05-01","Bachupally","9229","2085","2013","2411","2482","14262","1428","2617","3034","1070","1129","52115","10355","41760"
"2023-05-01","Bowenpally","7661","3743","2874","3922","1844","25341","1179","4642","1438","886","1208","68960","14222","54738"
"2023-05-01","Nizampet","7766","2094","1859","4951","1974","13282","1050","2400","6845","800","1277","72966","28668","44298"
"2023-05-01","Somajiguda","9796","2581","1791","7000","4000","22361","1630","3618","8000","2492","600","78908","15039","63869"
"2023-05-01","Masab Tank","9716","3498","2445","5794","2021","15630","594","2961","5132","1046","842","64116","14437","49679"
"2023-05-01","Khairatabad","11638","2862","3631","7000","4000","14168","1179","5913","8000","2113","1902","84526","22120","62406"
"2023-05-01","Nagole","6000","2837","2172","2224","2152","19392","1144","2231","1000","1341","731","43616","2392","41224"
"2023-06-01","Madhapur","12000","4161","5000","7000","4000","35000","1440","6000","3305","2380","1941","92062","9835","82227"
"2023-06-01","Gachibowli","12000","5000","3544","5051","4000","34969","969","6000","2167","2500","2000","121934","43734","78200"
"2023-06-01","Hitech City","12000","5000","5000","7000","4000","35000","1668","6000","8000","2272","1539","140955","53476","87479"
"2023-06-01","Kukatpally","9124","2674","2966","2000","3685","9804","1242","5919","4077","826","791","62824","19716","43108"
"2023-06-01","Ameerpet","7554","2000","2986","4589","4000","29196","1134","2121","6396","1537","893","72732","10326","62406"
"2023-06-01","Banjara Hills","12000","5000","4247","4540","4000","35000","2000","6000","3044","2145","1102","120566","41488","79078"
"2023-06-01","Jubilee Hills","11223","3681","5000","7000","4000","35000","2000","6000","2327","2500","2000","137827","57096","80731"
"2023-06-01","Secunderabad","7782","4180","2680","5961","2598","15783","1698","6000","1165","1525","1224","58445","7849","50596"
"2023-06-01","Begumpet","11117","3498","5000","6470","2274","35000","874","6000","8000","2500","1508","92095","9854","82241"
"2023-06-01","Kondapur","9897","5000","5000","3340","4000","33753","1929","6000","3952","2500","2000","82478","5107","77371"
"2023-06-01","Manikonda","10863","2864","3824","3447","2712","9599","1738","1593","7871","1324","1271","81910","34804","47106"
"2023-06-01","Miyapur","9622","3833","4214","5925","4000","26818","844","5099","1980","800","626","66530","2769","63761"
"2023-06-01","Chandanagar","8678","4149","1500","4797","2920","14599","1469","2958","5898","800","743","65296","16785","48511"
"2023-06-01","Lingampally","8700","3659","2150","3816","2108","24417","585","5956","5269","1298","709","68356","9689","58667"
"2023-06-01","Dilsukhnagar","6000","2000","3010","2000","3079","21307","500","2505","2594","800","993","48508","3720","44788"
"2023-06-01","Uppal","6000","2000","3235","2143","1500","16998","773","4284","1000","800","617","40743","1393","39350"
"2023-06-01","LB Nagar","7482","3216","2694","2593","1500","10288","631","1126","2092","1256","500","49221","15843","33378"
"2023-06-01","Mehdipatnam","9484","3107","1500","4613","3810","28128","1440","1844","3200","1849","1642","64004","3387","60617"
"2023-06-01","Tarnaka","7093","3160","1516","4420","1901","8600","868","1098","5200","1318","978","40877","4725","36152"
"2023-06-01","Kompally","6715","2404","1792","4012","2426","35000","1570","4979","2180","1461","575","77568","14454","63114"
"2023-06-01","Nallagandla","8930","5000","2779","2694","2956","28183","1515","5229","1817","1448","1866","66991","4574","62417"
"2023-06-01","Attapur","6000","3193","3558","5039","3723","8000","500","5060","6437","1554","1111","67961","23786","44175"
"2023-06-01","Alwal","7571","3075","2478","2089","2731","18181","533","2470","3345","1342","1191","47155","2149","45006"
"2023-06-01","Bachupally","10248","2000","1757","4611","2739","20892","1517","3867","3556","1473","1569","72727","18498","54229"
"2023-06-01","Bowenpally","7902","2944","3743","3158","1865","21563","822","1253","5138","1056","1499","72392","21449","50943"
"2023-06-01","Nizampet","9377","3033","1770","3107","3851","15906","1228","1251","4735","1466","1254","72536","25558","46978"
"2023-06-01","Somajiguda","8469","5000","5000","3379","2592","17134","2000","6000","7169","2304","744","76767","16976","59791"
"2023-06-01","Masab Tank","8905","3204","2695","4606","2541","10548","1263","3185","1165","2068","752","63360","22428","40932"
"2023-06-01","Khairatabad","12000","2971","5000","5101","4000","34460","1779","2784","6980","1085","1843","87300","9297","78003"
"2023-06-01","Nagole","6000","2254","1569","3463","2892","14711","631","4609","3822","1013","760","44473","2749","41724"
"2023-07-01","Madhapur","12000","5000","2992","7000","2601","35000","2000","1648","3467","2500","2000","145248","69040","76208"
"2023-07-01","Gachibowli","12000","5000","4884","7000","2548","24626","1743","6000","8000","2374","1931","104582","28476","76106"
"2023-07-01","Hitech City","12000","5000","3506","4248","4000","21754","2000","2950","8000","2500","2000","119898","51940","67958"
"2023-07-01","Kukatpally","10840","4198","3667","5400","3206","13134","1028","1000","7099","1828","1604","71814","18810","53004"
"2023-07-01","Ameerpet","6000","3688","1839","5961","1952","14880","1594","4972","4960","1065","1229","68077","19937","48140"
"2023-07-01","Banjara Hills","12000","5000","5000","7000","3847","26898","1719","6000","8000","2029","2000","128268","48775","79493"
"2023-07-01","Jubilee Hills","12000","5000","5000","4507","3797","21992","1215","6000","8000","1801","1682","129729","58735","70994"
"2023-07-01","Secunderabad","8147","2000","3037","2908","3049","26502","1308","3607","7106","1250","581","67831","8336","59495"
"2023-07-01","Begumpet","8195","4353","4916","5531","3528","21207","795","3746","7296","2229","2000","68213","4417","63796"
"2023-07-01","Kondapur","12000","5000","5000","7000","4000","23962","2000","6000","5047","2500","1868","136144","61767","74377"
"2023-07-01","Manikonda","11943","4801","4135","7000","2215","13896","933","4691","1661","2094","1852","71344","16123","55221"
"2023-07-01","Miyapur","9740","3478","2153","3160","3189","9014","875","2028","5481","1008","1725","43271","1420","41851"
"2023-07-01","Chandanagar","6346","3721","3460","2537","2060","10027","1052","1678","1269","2068","1503","57217","21496","35721"
"2023-07-01","Lingampally","7052","2163","3610","5647","2418","29491","1321","2041","1200","2112","1185","64418","6178","58240"
"2023-07-01","Dilsukhnagar","7364","2000","2281","3632","2601","11697","586","3222","5089","800","742","45331","5317","40014"
"2023-07-01","Uppal","6289","2082","1500","2000","1941","8000","899","1000","2487","991","1233","41101","12679","28422"
"2023-07-01","LB Nagar","6000","2000","2679","2000","1500","13800","1061","3318","4396","897","1030","49357","10676","38681"
"2023-07-01","Mehdipatnam","6218","2000","3573","2205","2969","29335","556","1650","5543","1064","757","69223","13353","55870"
"2023-07-01","Tarnaka","7665","2248","1500","2180","1849","15837","1338","1004","3941","1479","760","45806","6005","39801"
"2023-07-01","Kompally","12000","4189","1647","7000","2251","14952","813","4460","3601","2384","801","90239","36141","54098"
"2023-07-01","Nallagandla","8178","3549","5000","5449","2499","25582","990","6000","3216","2370","2000","90215","25382","64833"
"2023-07-01","Attapur","6000","2434","3119","3295","3065","22840","1496","2746","5869","1734","1192","56974","3184","53790"
"2023-07-01","Alwal","7173","2662","3131","2771","1975","12121","500","2751","1500","1604","500","38594","1906","36688"
"2023-07-01","Bachupally","9689","3139","2551","6134","2291","9790","1602","2852","3653","1613","926","62080","17840","44240"
"2023-07-01","Bowenpally","9283","2198","2503","2137","2390","18302","768","4523","3792","919","561","56164","8788","47376"
"2023-07-01","Nizampet","8604","3619","2885","2994","1658","28378","1581","4979","1000","1499","1284","66182","7701","58481"
"2023-07-01","Somajiguda","12000","2578","5000","7000","4000","25696","1083","6000","5068","2287","2000","91517","18805","72712"
"2023-07-01","Masab Tank","6374","2236","2510","4397","3473","20745","1294","4507","3601","1265","1280","60180","8498","51682"
"2023-07-01","Khairatabad","10106","2625","3014","5891","3297","22506","951","3639","4358","2213","1305","71378","11473","59905"
"2023-07-01","Nagole","6000","2361","1574","3917","1500","17843","534","1782","3055","1493","838","46490","5593","40897"
"2023-08-01","Madhapur","12000","5000","5000","7000","3855","21195","1245","3160","7284","2500","2000","147895","77656","70239"
"2023-08-01","Gachibowli","12000","5000","5000","5208","3428","35000","1875","6000","4522","2500","955","107687","26199","81488"
"2023-08-01","Hitech City","12000","5000","2810","7000","3348","35000","1742","6000","3173","2500","1236","115974","36165","79809"
"2023-08-01","Kukatpally","10515","2489","4058","2114","1831","8392","751","1145","2364","834","1650","62079","25936","36143"
"2023-08-01","Ameerpet","6000","2000","3544","4553","1500","29873","790","4536","1562","887","753","59542","3544","55998"
"2023-08-01","Banjara Hills","10960","5000","5000","7000","3169","35000","2000","1748","7423","2342","2000","124597","42955","81642"
"2023-08-01","Jubilee Hills","12000","5000","5000","6377","2852","14743","2000","2264","8000","2195","957","127212","65824","61388"
"2023-08-01","Secunderabad","8306","2000","2639","4343","3334","8000","934","3279","1214","1064","1678","57800","21009","36791"
"2023-08-01","Begumpet","10909","3828","2285","6385","2429","31171","999","6000","4061","2425","2000","96417","23925","72492"
"2023-08-01","Kondapur","9897","5000","5000","3912","4000","35000","2000","6000","8000","1259","1685","121613","39860","81753"
"2023-08-01","Manikonda","12000","4050","2004","5615","2007","34980","879","2614","2714","1250","1213","84378","15052","69326"
"2023-08-01","Miyapur","8913","2000","2400","5996","2375","17531","1601","4760","5688","1140","1019","70280","16857","53423"
"2023-08-01","Chandanagar","8954","3335","1712","5292","2020","16525","1607","4117","2570","800","1581","53687","5174","48513"
"2023-08-01","Lingampally","9004","2000","2215","5974","1638","14212","1490","1322","3685","1340","1385","55112","10847","44265"
"2023-08-01","Dilsukhnagar","7499","2000","2514","2000","2374","8675","811","1824","1448","1188","1250","33394","1811","31583"
"2023-08-01","Uppal","7928","2004","2598","2000","1500","15695","1017","3995","3642","1206","500","47158","5073","42085"
"2023-08-01","LB Nagar","6000","2000","1516","2808","2578","8000","500","1749","1000","1130","1017","35547","7249","28298"
"2023-08-01","Mehdipatnam","8173","2023","4002","5756","2964","28532","1099","1515","1436","2015","1086","62068","3467","58601"
"2023-08-01","Tarnaka","6001","2000","3193","3915","2363","17833","1353","2061","1952","1117","692","45372","2892","42480"
"2023-08-01","Kompally","8812","5000","3286","7000","2048","18926","2000","1892","5244","2500","1807","90112","31597","58515"
"2023-08-01","Nallagandla","12000","5000","3735","5810","1989","11160","1196","2229","4342","1237","2000","59511","8813","50698"
"2023-08-01","Attapur","6000","3114","1605","4318","1500","18954","801","3322","4826","1606","1174","50953","3733","47220"
"2023-08-01","Alwal","6232","2000","1500","3866","1500","18537","500","1214","2992","1015","901","45611","5354","40257"
"2023-08-01","Bachupally","6000","2000","3780","2650","3311","12925","1307","1573","1780","1269","1481","68029","29953","38076"
"2023-08-01","Bowenpally","7748","2000","2555","2759","1866","28897","925","3049","4710","1207","809","60929","4404","56525"
"2023-08-01","Nizampet","8485","3006","1500","3096","1819","27894","500","1679","4292","1677","1003","65391","10440","54951"
"2023-08-01","Somajiguda","10062","3755","5000","7000","1771","10281","1180","2632","4465","1264","1492","87704","38802","48902"
"2023-08-01","Masab Tank","8423","3775","2986","4301","1685","14399","1551","1315","3270","1264","829","63850","20052","43798"
"2023-08-01","Khairatabad","11023","5000","4783","7000","2143","16238","1851","1925","7967","2411","1587","83970","22042","61928"
"2023-08-01","Nagole","6000","2412","2709","2000","1509","19435","500","1046","2077","1097","856","45447","5806","39641"
"2023-09-01","Madhapur","12000","4899","2682","4722","4000","35000","2000","6000","6479","2500","1693","122755","40780","81975"
"2023-09-01","Gachibowli","12000","5000","3936","7000","4000","29040","2000","6000","7981","2061","1882","87146","6246","80900"
"2023-09-01","Hitech City","12000","5000","2593","7000","3321","35000","2000","1957","4034","1969","1261","126504","50369","76135"
"2023-09-01","Kukatpally","9326","3810","2968","5721","3364","31315","1254","1980","1699","1983","1004","73867","9443","64424"
